id,name,scientific_name
agri.pest_disease_accelerated_boll_burst_earlier_harvest,Accelerated boll burst (earlier harvest),
agri.pest_disease_alternaria_spot_alternaria_citri,Alternaria spot,Alternaria citri
agri.pest_disease_alternaria_spot_alternaria_porri,Alternaria spot,Alternaria porri
agri.pest_disease_angular_leaf_spot_ascochyta_spp,Angular leaf spot,Ascochyta spp.
agri.pest_disease_antestia_bug,Antestia bug,
agri.pest_disease_antestia_bug_agrotis_spp,Antestia bug,Agrotis spp.
agri.pest_disease_antestia_bug_myzus_persicae,Antestia bug,Myzus persicae
agri.pest_disease_anthracnose_actinonema_spp,Anthracnose,Actinonema spp.
agri.pest_disease_anthracnose_alternaria_solani,Anthracnose,Alternaria solani
agri.pest_disease_anthracnose_alternaria_spp,Anthracnose,Alternaria spp.
agri.pest_disease_anthracnose_botrytis_spp,Anthracnose,Botrytis spp.
agri.pest_disease_anthracnose_cercospora_spp,Anthracnose,Cercospora spp.
agri.pest_disease_anthracnose_colletotrichum_destructivum,Anthracnose,Colletotrichum destructivum
agri.pest_disease_anthracnose_colletotrichum_graminicola,Anthracnose,Colletotrichum graminicola
agri.pest_disease_anthracnose_phytophthora_infestans,Anthracnose,Phytophthora infestans
agri.pest_disease_anthracnose_pseudocercospora_purpurea,Anthracnose,Pseudocercospora purpurea
agri.pest_disease_ants,Ants,
agri.pest_disease_ants_agrotis_spp,Ants,Agrotis spp.
agri.pest_disease_ants_alphitobius_diaperinus,Ants,Alphitobius diaperinus
agri.pest_disease_ants_argentine_ants_anoplolepis_custodiens,Ants - Argentine ants,Anoplolepis custodiens
agri.pest_disease_ants_argentine_ants_aonidiella_aurantii,Ants - Argentine ants,Aonidiella aurantii
agri.pest_disease_ants_argentine_ants_brevicoryne_brassicae,Ants - Argentine ants,Brevicoryne brassicae
agri.pest_disease_ants_argentine_ants_linepithema_humile,Ants - Argentine ants,Linepithema humile
agri.pest_disease_ants_astylus,Ants,Astylus
agri.pest_disease_ants_brown_house_ants_alphitobius_diaperinus,Ants - Brown house ants,Alphitobius diaperinus
agri.pest_disease_ants_cocktail_ants_brevicoryne_brassicae,Ants - Cocktail ants,Brevicoryne brassicae
agri.pest_disease_ants_cocktail_ants_diuraphis_noxia,Ants - Cocktail ants,Diuraphis noxia
agri.pest_disease_ants_pugnacious_ants_anoplolepis_steingroeveri,Ants - Pugnacious ants,Anoplolepis steingroeveri
agri.pest_disease_aphids,Aphids,
agri.pest_disease_aphids_achaea_spp,Aphids,Achaea spp.
agri.pest_disease_aphids_acyrthosiphon_hordium,Aphids,Acyrthosiphon hordium
agri.pest_disease_aphids_agrotis_spp,Aphids,Agrotis spp.
agri.pest_disease_aphids_aleurothrixus_floccosus,Aphids,Aleurothrixus floccosus
agri.pest_disease_aphids_all_species,Aphids,All species
agri.pest_disease_aphids_aonidiella_aurantii,Aphids,Aonidiella aurantii
agri.pest_disease_aphids_aphis_spp,Aphids,Aphis spp.
agri.pest_disease_aphids_black_citrus_aphid_cydia_pomonella,Aphids - Black citrus aphid,Cydia pomonella
agri.pest_disease_aphids_black_peach_aphid_brevicoryne_brassicae,Aphids - Black peach aphid,Brevicoryne brassicae
agri.pest_disease_aphids_brachycaudus_persicae,Aphids,Brachycaudus persicae
agri.pest_disease_aphids_brevicoryne_brassicae,Aphids,Brevicoryne brassicae
agri.pest_disease_aphids_brown_aphid,Aphids - Brown aphid,
agri.pest_disease_aphids_brown_aphid_brevicoryne_brassicae,Aphids - Brown aphid,Brevicoryne brassicae
agri.pest_disease_aphids_brown_aphid_macrosiphum_avenae,Aphids - Brown aphid,Macrosiphum avenae
agri.pest_disease_aphids_brown_ear_aphid_aonidiella_aurantii,Aphids - Brown ear aphid,Aonidiella aurantii
agri.pest_disease_aphids_brown_ear_aphid_aphis_gossypii,Aphids - Brown ear aphid,Aphis gossypii
agri.pest_disease_aphids_brown_wheat_ear_aphid_aulacaspis_tubercularis,Aphids - Brown wheat ear aphid,Aulacaspis tubercularis
agri.pest_disease_aphids_brown_wheat_ear_aphid_brevicoryne_brassicae,Aphids - Brown wheat ear aphid,Brevicoryne brassicae
agri.pest_disease_aphids_brown_wheat_ear_aphid_diuraphis_noxia,Aphids - Brown wheat ear aphid,Diuraphis noxia
agri.pest_disease_aphids_busseola,Aphids,Busseola
agri.pest_disease_aphids_cabbage_aphid,Aphids - Cabbage aphid,
agri.pest_disease_aphids_cabbage_aphid_aphis_gossypii,Aphids - Cabbage aphid,Aphis gossypii
agri.pest_disease_aphids_cabbage_aphid_brevicoryne_brassicae,Aphids - Cabbage aphid,Brevicoryne brassicae
agri.pest_disease_aphids_cabbage_aphid_diuraphis_noxia,Aphids - Cabbage aphid,Diuraphis noxia
agri.pest_disease_aphids_cabbage_aphid_macrosiphum_avenae,Aphids - Cabbage aphid,Macrosiphum avenae
agri.pest_disease_aphids_cabbage_aphid_myzus_persicae,Aphids - Cabbage aphid,Myzus persicae
agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,Aphids - Citrus aphid,Plutella xylostella
agri.pest_disease_aphids_citrus_aphid_toxoptera_spp,Aphids - Citrus aphid,Toxoptera spp.
agri.pest_disease_aphids_cotton_aphid_aonidiella_aurantii,Aphids - Cotton aphid,Aonidiella aurantii
agri.pest_disease_aphids_cotton_aphid_aphis_gossypii,Aphids - Cotton aphid,Aphis gossypii
agri.pest_disease_aphids_cruciferae_aphid_brevicoryne_brassicae,Aphids - Cruciferae aphid,Brevicoryne brassicae
agri.pest_disease_aphids_cydia_molesta,Aphids,Cydia molesta
agri.pest_disease_aphids_ditylenchus_atricanus,Aphids,Ditylenchus atricanus
agri.pest_disease_aphids_ditylenchus_destructor,Aphids,Ditylenchus destructor
agri.pest_disease_aphids_diuraphis_noxia,Aphids,Diuraphis noxia
agri.pest_disease_aphids_funnel_aphid_melanaphis_sacchari,Aphids - Funnel aphid,Melanaphis sacchari
agri.pest_disease_aphids_gonipterus_scuttelatus,Aphids,Gonipterus scuttelatus
agri.pest_disease_aphids_green_aphid,Aphids - Green aphid,
agri.pest_disease_aphids_green_aphid_rhopalosiphum_maidis,Aphids - Green aphid,Rhopalosiphum maidis
agri.pest_disease_aphids_green_aphid_schizaphis_graminum,Aphids - Green aphid,Schizaphis graminum
agri.pest_disease_aphids_green_peach_aphid,Aphids - Green peach aphid,
agri.pest_disease_aphids_green_peach_aphid_aphis_gossypii,Aphids - Green peach aphid,Aphis gossypii
agri.pest_disease_aphids_green_peach_aphid_bemisia_tabaci,Aphids - Green peach aphid,Bemisia tabaci
agri.pest_disease_aphids_green_peach_aphid_cydia_pomonella,Aphids - Green peach aphid,Cydia pomonella
agri.pest_disease_aphids_green_peach_aphid_myzus_persicae,Aphids - Green peach aphid,Myzus persicae
agri.pest_disease_aphids_helicoverpa_armigera,Aphids,Helicoverpa armigera
agri.pest_disease_aphids_heliothis_armigera,Aphids,Heliothis armigera
agri.pest_disease_aphids_honeydew_aphid,Aphids - Honeydew aphid,
agri.pest_disease_aphids_macrosiphum_rosae,Aphids,Macrosiphum rosae
agri.pest_disease_aphids_maize_aphid_bemisia_tabaci_biotype_b,Aphids - Maize aphid,Bemisia tabaci Biotype B
agri.pest_disease_aphids_oat_aphid_cydia_pomonella,Aphids - Oat aphid,Cydia pomonella
agri.pest_disease_aphids_oat_aphid_diuraphis_noxia,Aphids - Oat aphid,Diuraphis noxia
agri.pest_disease_aphids_oat_aphid_myzus_persicae,Aphids - Oat aphid,Myzus persicae
agri.pest_disease_aphids_oat_aphid_rhopalosiphum_padi,Aphids - Oat aphid,Rhopalosiphum padi
agri.pest_disease_aphids_peach_aphid,Aphids - Peach aphid,
agri.pest_disease_aphids_planococcus_spp,Aphids,Planococcus spp.
agri.pest_disease_aphids_plusia,Aphids,Plusia
agri.pest_disease_aphids_potato_aphid_eutetranychus_orientalis,Aphids - Potato aphid,Eutetranychus orientalis
agri.pest_disease_aphids_rhopalosiphum_padi,Aphids,Rhopalosiphum padi
agri.pest_disease_aphids_russian_wheat_aphid,Aphids - Russian wheat aphid,
agri.pest_disease_aphids_russian_wheat_aphid_astylus_spp,Aphids - Russian wheat aphid,Astylus spp.
agri.pest_disease_aphids_russian_wheat_aphid_diuraphis_noxia,Aphids - Russian wheat aphid,Diuraphis noxia
agri.pest_disease_aphids_russian_wheat_aphid_eriosoma_lanigerum,Aphids - Russian wheat aphid,Eriosoma lanigerum
agri.pest_disease_aphids_russian_wheat_aphid_nysius_natalensis,Aphids - Russian wheat aphid,Nysius natalensis
agri.pest_disease_aphids_russian_wheat_aphid_schizaphis_graminum,Aphids - Russian wheat aphid,Schizaphis graminum
agri.pest_disease_aphids_small_grain_aphid_thrips_tabaci,Aphids - Small grain aphid,Thrips tabaci
agri.pest_disease_aphids_spodoptera_frugiperda,Aphids,Spodoptera frugiperda
agri.pest_disease_aphids_tetranychus_urticae,Aphids,Tetranychus urticae
agri.pest_disease_aphids_various_spp,Aphids,Various spp.
agri.pest_disease_aphids_wheat_aphid,Aphids - Wheat aphid,
agri.pest_disease_aphids_wheat_aphid_brevicoryne_brassicae,Aphids - Wheat aphid,Brevicoryne brassicae
agri.pest_disease_aphids_wheat_aphid_frankliniella_occidentalis,Aphids - Wheat aphid,Frankliniella occidentalis
agri.pest_disease_aphids_wheat_aphid_nipaecoccus_viridus,Aphids - Wheat aphid,Nipaecoccus viridus
agri.pest_disease_aphids_wheat_aphid_rhopalosiphum_padi,Aphids - Wheat aphid,Rhopalosiphum padi
agri.pest_disease_aphids_wheat_aphid_sitobion_avenae,Aphids - Wheat aphid,Sitobion avenae
agri.pest_disease_aphids_woolly_aphid,Aphids - Woolly aphid,
agri.pest_disease_aphids_woolly_aphid_brevicoryne_brassicae,Aphids - Woolly aphid,Brevicoryne brassicae
agri.pest_disease_aphids_woolly_aphid_eriosoma_lanigerum,Aphids - Woolly aphid,Eriosoma lanigerum
agri.pest_disease_aphids_woolly_apple_aphid_aonidiella_aurantii,Aphids - Woolly apple aphid,Aonidiella aurantii
agri.pest_disease_aphids_woolly_apple_aphid_eriosoma_lanigerum,Aphids - Woolly apple aphid,Eriosoma lanigerum
agri.pest_disease_aphids_woolly_apple_aphid_planococcus_citri,Aphids - Woolly apple aphid,Planococcus citri
agri.pest_disease_army_worm,Army worm,
agri.pest_disease_army_worm_anatrachyntis_rileyi,Army worm,Anatrachyntis rileyi
agri.pest_disease_army_worm_anomis,Army worm,Anomis
agri.pest_disease_army_worm_anoplolepis_custodiens,Army worm,Anoplolepis custodiens
agri.pest_disease_army_worm_busseola_fusca,Army worm,Busseola fusca
agri.pest_disease_army_worm_cacosceles_spp,Army worm,Cacosceles spp.
agri.pest_disease_army_worm_chrysodeixis_acuta,Army worm,Chrysodeixis acuta
agri.pest_disease_army_worm_fall_armyworm,Army worm - Fall armyworm,
agri.pest_disease_army_worm_fall_armyworm_agrotis_spp,Army worm - Fall armyworm,Agrotis spp.
agri.pest_disease_army_worm_fall_armyworm_busseola_fusca,Army worm - Fall armyworm,Busseola fusca
agri.pest_disease_army_worm_fall_armyworm_chrysodeixis_acuta,Army worm - Fall armyworm,Chrysodeixis acuta
agri.pest_disease_army_worm_fall_armyworm_cydia_pomonella,Army worm - Fall armyworm,Cydia pomonella
agri.pest_disease_army_worm_fall_armyworm_phthorimaea_operculella,Army worm - Fall armyworm,Phthorimaea operculella
agri.pest_disease_army_worm_false_armyworm_spodoptera_frugiperda,Army worm - False armyworm,Spodoptera frugiperda
agri.pest_disease_army_worm_lesser_army_worm,Army worm - Lesser army worm,
agri.pest_disease_army_worm_lesser_army_worm_busseola_fusca,Army worm - Lesser army worm,Busseola fusca
agri.pest_disease_army_worm_lesser_army_worm_ceratitis_capitata,Army worm - Lesser army worm,Ceratitis capitata
agri.pest_disease_army_worm_lesser_army_worm_spodoptera,Army worm - Lesser army worm,Spodoptera
agri.pest_disease_army_worm_lesser_army_worm_various_spp,Army worm - Lesser army worm,Various spp.
agri.pest_disease_army_worm_leucania_loreyi,Army worm,Leucania loreyi
agri.pest_disease_army_worm_phthorimaea_operculella,Army worm,Phthorimaea operculella
agri.pest_disease_army_worm_plusia,Army worm,Plusia
agri.pest_disease_army_worm_plusia_spp,Army worm,Plusia spp.
agri.pest_disease_ascochyta_blight_alternaria_spp,Ascochyta blight,Alternaria spp.
agri.pest_disease_ascochyta_leaf_spot_botrytis_cinerea,Ascochyta leaf spot,Botrytis cinerea
agri.pest_disease_aspergillus_spp_penicillium_spp,Aspergillus spp.,Penicillium spp.
agri.pest_disease_astylus_beetle,Astylus beetle,
agri.pest_disease_astylus_beetle_buphonella_murina,Astylus beetle,Buphonella murina
agri.pest_disease_astylus_beetle_buphonella_spp,Astylus beetle,Buphonella spp.
agri.pest_disease_astylus_beetle_various_spp,Astylus beetle,Various spp.
agri.pest_disease_australian_bug,Australian bug,
agri.pest_disease_bacterial_blight_rhizoctonia_solani,Bacterial blight,Rhizoctonia solani
agri.pest_disease_bacterial_canker,Bacterial canker,
agri.pest_disease_bacterial_spot,Bacterial spot,
agri.pest_disease_bagrada_bug,Bagrada bug,
agri.pest_disease_bark_borer_cactoblastis_cactorum,Bark borer,Cactoblastis cactorum
agri.pest_disease_base_rot_perenospora_rubi,Base rot,Perenospora rubi
agri.pest_disease_bedbugs,Bedbugs,
agri.pest_disease_berry_enlargement,Berry enlargement,
agri.pest_disease_black_core_rot_alternaria_alternata,Black core rot,Alternaria alternata
agri.pest_disease_black_leg_cercospera_zeaemaydis,Black leg,Cercospera zeaemaydis
agri.pest_disease_black_maize_beetle,Black maize beetle,
agri.pest_disease_black_maize_beetle_astylus_atromaculatus,Black maize beetle,Astylus atromaculatus
agri.pest_disease_black_maize_beetle_busseola_fusca,Black maize beetle,Busseola fusca
agri.pest_disease_black_maize_beetle_cicadulina_mbila,Black maize beetle,Cicadulina mbila
agri.pest_disease_black_moth,Black moth,
agri.pest_disease_black_scurf_rhizoctonia,Black scurf,Rhizoctonia
agri.pest_disease_black_scurf_rhizoctonia_solani,Black scurf,Rhizoctonia solani
agri.pest_disease_black_shank_cycloconium_oleaginum,Black shank,Cycloconium oleaginum
agri.pest_disease_black_speckle_phyllosticta_spp,Black speckle,Phyllosticta spp.
agri.pest_disease_black_spot,Black spot,
agri.pest_disease_black_spot_ascochyta_spp,Black spot,Ascochyta spp.
agri.pest_disease_black_spot_botrytis_cinerea,Black spot,Botrytis cinerea
agri.pest_disease_black_spot_botrytis_spp,Black spot,Botrytis spp.
agri.pest_disease_black_spot_venturia_inaequalis,Black spot,Venturia inaequalis
agri.pest_disease_blossom_blight,Blossom blight,
agri.pest_disease_blossom_blight_botryosphaeria_spp,Blossom blight,Botryosphaeria spp.
agri.pest_disease_blossom_blight_botrytis_spp,Blossom blight,Botrytis spp.
agri.pest_disease_blossom_blight_diplodia_spp,Blossom blight,Diplodia spp.
agri.pest_disease_blossom_blight_erysiphe_graminis,Blossom blight,Erysiphe graminis
agri.pest_disease_blossom_blight_monilinia_laxa,Blossom blight,Monilinia laxa
agri.pest_disease_blossom-end_rot,Blossom-end rot,
agri.pest_disease_blossom-end_rot_diplodia_spp,Blossom-end rot,Diplodia spp.
agri.pest_disease_blossom-end_rot_fusarium_spp,Blossom-end rot,Fusarium spp.
agri.pest_disease_blue_mould,Blue mould,
agri.pest_disease_blue_mould_botrytis_cinerea,Blue mould,Botrytis cinerea
agri.pest_disease_blue_mould_penicillium_digitatum,Blue mould,Penicillium digitatum
agri.pest_disease_bollworm_african_american_bollworm,Bollworm - African (American) bollworm,
agri.pest_disease_bollworm_african_american_bollworm_agrotis_spp,Bollworm - African (American) bollworm,Agrotis spp.
agri.pest_disease_bollworm_african_american_bollworm_ascotis_spp,Bollworm - African (American) bollworm,Ascotis spp.
agri.pest_disease_bollworm_african_american_bollworm_busseola_fusca,Bollworm - African (American) bollworm,Busseola fusca
agri.pest_disease_bollworm_african_american_bollworm_ceratitis_capitata,Bollworm - African (American) bollworm,Ceratitis capitata
agri.pest_disease_bollworm_african_american_bollworm_chilo_partellus,Bollworm - African (American) bollworm,Chilo partellus
agri.pest_disease_bollworm_african_american_bollworm_cryptophlebia_batrachopa,Bollworm - African (American) bollworm,Cryptophlebia batrachopa
agri.pest_disease_bollworm_african_american_bollworm_cydia_pomonella,Bollworm - African (American) bollworm,Cydia pomonella
agri.pest_disease_bollworm_african_american_bollworm_helicoverpa_armigera,Bollworm - African (American) bollworm,Helicoverpa armigera
agri.pest_disease_bollworm_african_american_bollworm_plutella_xylostella,Bollworm - African (American) bollworm,Plutella xylostella
agri.pest_disease_bollworm_african_american_bollworm_tetranychus_lombardinii,Bollworm - African (American) bollworm,Tetranychus lombardinii
agri.pest_disease_bollworm_african_american_bollworm_tetranychus_urticae,Bollworm - African (American) bollworm,Tetranychus urticae
agri.pest_disease_bollworm_red_bollworm,Bollworm - Red bollworm,
agri.pest_disease_bollworm_red_bollworm_busseola_fusca,Bollworm - Red bollworm,Busseola fusca
agri.pest_disease_bollworm_red_bollworm_chilo_partellus,Bollworm - Red bollworm,Chilo partellus
agri.pest_disease_bollworm_red_bollworm_colias_electo,Bollworm - Red bollworm,Colias electo
agri.pest_disease_bollworm_red_bollworm_dactylopius_spp,Bollworm - Red bollworm,Dactylopius spp.
agri.pest_disease_bollworm_spiny_bollworm,Bollworm - Spiny bollworm,
agri.pest_disease_bollworm_spiny_bollworm_chilo_partellus,Bollworm - Spiny bollworm,Chilo partellus
agri.pest_disease_bollworm_spiny_bollworm_colias_electo,Bollworm - Spiny bollworm,Colias electo
agri.pest_disease_bollworm_spiny_bollworm_cryptophlebia_leucotreta,Bollworm - Spiny bollworm,Cryptophlebia leucotreta
agri.pest_disease_bollworm_spiny_bollworm_diparopsis_castanea,Bollworm - Spiny bollworm,Diparopsis castanea
agri.pest_disease_bollworm_spiny_bollworm_xanthodes,Bollworm - Spiny bollworm,Xanthodes
agri.pest_disease_botrytis,Botrytis,
agri.pest_disease_botrytis_alternaria_porri,Botrytis,Alternaria porri
agri.pest_disease_botrytis_botrytis,Botrytis,Botrytis
agri.pest_disease_botrytis_botrytis_cinerea,Botrytis,Botrytis cinerea
agri.pest_disease_botrytis_botrytis_spp,Botrytis,Botrytis spp.
agri.pest_disease_botrytis_cercospora_arachidicola,Botrytis,Cercospora arachidicola
agri.pest_disease_botrytis_fusarium_spp,Botrytis,Fusarium spp.
agri.pest_disease_botrytis_monilinia_spp,Botrytis,Monilinia spp.
agri.pest_disease_botrytis_phytophthora_infestans,Botrytis,Phytophthora infestans
agri.pest_disease_botrytis_stem_rot_cercospora_arachidicola,Botrytis stem rot,Cercospora arachidicola
agri.pest_disease_brown_patch_blumeria_graminis,Brown patch,Blumeria graminis
agri.pest_disease_brown_patch_botrytis_cinerea,Brown patch,Botrytis cinerea
agri.pest_disease_brown_patch_guignardia_citricarpa,Brown patch,Guignardia citricarpa
agri.pest_disease_brown_rot,Brown rot,
agri.pest_disease_brown_rot_fusarium,Brown rot,Fusarium
agri.pest_disease_brown_rot_monilinia_penicillium_spp,Brown rot - Monilinia,Penicillium spp.
agri.pest_disease_brown_rot_monilinia_spp,Brown rot,Monilinia spp.
agri.pest_disease_brown_rot_oidiopsis_taurica,Brown rot,Oidiopsis taurica
agri.pest_disease_brown_spot_alternaria_alternata,Brown spot,Alternaria alternata
agri.pest_disease_brown_spot_alternaria_citri,Brown spot,Alternaria citri
agri.pest_disease_cabbage_webworm_earias_biplaga,Cabbage webworm,Earias biplaga
agri.pest_disease_cabbage_webworm_helicoverpa_armigera,Cabbage webworm,Helicoverpa armigera
agri.pest_disease_cabbage_webworm_hellula_undalis,Cabbage webworm,Hellula undalis
agri.pest_disease_cabbage_white_butterfly_earias_insulana,Cabbage white butterfly,Earias insulana
agri.pest_disease_cabbage_white_butterfly_hellula_undalis,Cabbage white butterfly,Hellula undalis
agri.pest_disease_cabbage_white_butterfly_phlyctinus_callosus,Cabbage white butterfly,Phlyctinus callosus
agri.pest_disease_cactoblastis,Cactoblastis,
agri.pest_disease_cactoblastis_cydia_pomonella,Cactoblastis,Cydia pomonella
agri.pest_disease_cactoblastis_diparopsis_castanea,Cactoblastis,Diparopsis castanea
agri.pest_disease_calyx_abscission_prevention,Calyx abscission prevention,
agri.pest_disease_calyx-end_rot_helminthosporium_spp,Calyx-end rot,Helminthosporium spp.
agri.pest_disease_calyx-end_russetting,Calyx-end russetting,
agri.pest_disease_cane_eradication,Cane eradication,
agri.pest_disease_carnation_worm,Carnation worm,
agri.pest_disease_caterpillars_colias_electo,Caterpillars,Colias electo
